"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"	"region"
"BICD14"	0.373996486673051	0.215936349906995	0.23	0.164	1	"OPC"	"BICD1"	"AD"	"Entorhinal Cortex"
"DHX363"	0.37416296063541	0.282435911025954	0.148	0.098	1	"OPC"	"DHX36"	"AD"	"Entorhinal Cortex"
"RP11-289H16.12"	0.374167812596926	-0.383262995573059	0.098	0.148	1	"OPC"	"RP11-289H16.1"	"AD"	"Entorhinal Cortex"
"PSME44"	0.374167812596926	-0.438942963971773	0.098	0.148	1	"OPC"	"PSME4"	"AD"	"Entorhinal Cortex"
"ABHD61"	0.374167812596926	0.417980520141223	0.148	0.098	1	"OPC"	"ABHD6"	"AD"	"Entorhinal Cortex"
"YLPM13"	0.374167812596926	0.416880635379052	0.148	0.098	1	"OPC"	"YLPM1"	"AD"	"Entorhinal Cortex"
"TBL1XR14"	0.374793560199506	-0.395846634021575	0.246	0.311	1	"OPC"	"TBL1XR1"	"AD"	"Entorhinal Cortex"
"ATPIF11"	0.375442413004579	0.259061151148361	0.115	0.066	1	"OPC"	"ATPIF1"	"AD"	"Entorhinal Cortex"
"MUT"	0.375442413004579	0.300087909811163	0.115	0.066	1	"OPC"	"MUT"	"AD"	"Entorhinal Cortex"
"AQP4-AS11"	0.375442413004579	0.268011527694834	0.115	0.066	1	"OPC"	"AQP4-AS1"	"AD"	"Entorhinal Cortex"
"RAF13"	0.375628918742517	-0.0825303253051382	0.164	0.098	1	"OPC"	"RAF1"	"AD"	"Entorhinal Cortex"
"FAM19A21"	0.376363108843251	0.0307079556366481	0.377	0.262	1	"OPC"	"FAM19A2"	"AD"	"Entorhinal Cortex"
"WDR602"	0.376691512209399	0.154385507532471	0.18	0.115	1	"OPC"	"WDR60"	"AD"	"Entorhinal Cortex"
"TIAM14"	0.37896304225087	0.110699372553841	0.344	0.246	1	"OPC"	"TIAM1"	"AD"	"Entorhinal Cortex"
"VPS411"	0.379012734394687	0.378962844573131	0.148	0.098	1	"OPC"	"VPS41"	"AD"	"Entorhinal Cortex"
"SUGT12"	0.379012734394687	-0.376921367910883	0.098	0.148	1	"OPC"	"SUGT1"	"AD"	"Entorhinal Cortex"
"MEF2A4"	0.379023367912019	-0.677891541459605	0.148	0.197	1	"OPC"	"MEF2A"	"AD"	"Entorhinal Cortex"
"UQCC12"	0.379078227760008	-0.352569266034143	0.082	0.131	1	"OPC"	"UQCC1"	"AD"	"Entorhinal Cortex"
"WRB"	0.379078227760008	0.221051569260485	0.131	0.082	1	"OPC"	"WRB"	"AD"	"Entorhinal Cortex"
"LIMCH13"	0.381019753591333	0.210512143112238	0.115	0.066	1	"OPC"	"LIMCH1"	"AD"	"Entorhinal Cortex"
"TMEM1444"	0.381019753591333	0.242461067638071	0.115	0.066	1	"OPC"	"TMEM144"	"AD"	"Entorhinal Cortex"
"ATP5G1"	0.381019753591333	0.214077001525626	0.115	0.066	1	"OPC"	"ATP5G1"	"AD"	"Entorhinal Cortex"
"RALY2"	0.381019753591333	0.127598888799119	0.115	0.066	1	"OPC"	"RALY"	"AD"	"Entorhinal Cortex"
"FAM19A52"	0.381019753591333	0.123783792627321	0.115	0.066	1	"OPC"	"FAM19A5"	"AD"	"Entorhinal Cortex"
"CBFA2T24"	0.381043665900894	-0.453061978768365	0.115	0.164	1	"OPC"	"CBFA2T2"	"AD"	"Entorhinal Cortex"
"ENHO1"	0.381045836446229	-0.426132229665513	0.115	0.164	1	"OPC"	"ENHO"	"AD"	"Entorhinal Cortex"
"NCAM24"	0.382576110378993	-0.181320958456905	0.918	0.951	1	"OPC"	"NCAM2"	"AD"	"Entorhinal Cortex"
"ANO42"	0.382999707908626	-0.313645383642378	0.197	0.262	1	"OPC"	"ANO4"	"AD"	"Entorhinal Cortex"
"RAD18"	0.383896067535398	0.385599740538698	0.148	0.098	1	"OPC"	"RAD18"	"AD"	"Entorhinal Cortex"
"ICA11"	0.384281203509956	0.311756477434801	0.131	0.082	1	"OPC"	"ICA1"	"AD"	"Entorhinal Cortex"
"PSMC21"	0.384281203509956	0.31776196947667	0.131	0.082	1	"OPC"	"PSMC2"	"AD"	"Entorhinal Cortex"
"MSI24"	0.385069074277104	0.359983181715977	0.328	0.279	1	"OPC"	"MSI2"	"AD"	"Entorhinal Cortex"
"OLA13"	0.385287476688046	-0.433421114844694	0.131	0.18	1	"OPC"	"OLA1"	"AD"	"Entorhinal Cortex"
"ZNF912"	0.385686536109539	0.372181168544093	0.164	0.115	1	"OPC"	"ZNF91"	"AD"	"Entorhinal Cortex"
"EIF2AK3"	0.38664767586347	0.0521375426077141	0.115	0.066	1	"OPC"	"EIF2AK3"	"AD"	"Entorhinal Cortex"
"NISCH3"	0.38664767586347	0.00224230932056391	0.115	0.066	1	"OPC"	"NISCH"	"AD"	"Entorhinal Cortex"
"PYGO1"	0.38664767586347	0.0679165435060918	0.115	0.066	1	"OPC"	"PYGO1"	"AD"	"Entorhinal Cortex"
"RBMS32"	0.386800655862131	-0.502575493665742	0.197	0.262	1	"OPC"	"RBMS3"	"AD"	"Entorhinal Cortex"
"PLEKHH2"	0.388184500945357	-0.432933216195333	0.164	0.213	1	"OPC"	"PLEKHH2"	"AD"	"Entorhinal Cortex"
"BCLAF14"	0.38881771994466	0.395204503501989	0.148	0.098	1	"OPC"	"BCLAF1"	"AD"	"Entorhinal Cortex"
"SLC9A71"	0.38881771994466	-0.528783449577157	0.098	0.148	1	"OPC"	"SLC9A7"	"AD"	"Entorhinal Cortex"
"IFT883"	0.38881771994466	-0.547954176823749	0.098	0.148	1	"OPC"	"IFT88"	"AD"	"Entorhinal Cortex"
"SCD4"	0.389527639108421	-0.293664990598926	0.082	0.131	1	"OPC"	"SCD"	"AD"	"Entorhinal Cortex"
"CALR2"	0.389527639108421	-0.282150295070854	0.082	0.131	1	"OPC"	"CALR"	"AD"	"Entorhinal Cortex"
"PDE9A"	0.389527639108421	0.171253883146382	0.131	0.082	1	"OPC"	"PDE9A"	"AD"	"Entorhinal Cortex"
"RABEP14"	0.389742297581515	-0.465100747394135	0.131	0.18	1	"OPC"	"RABEP1"	"AD"	"Entorhinal Cortex"
"ERC14"	0.389886251616496	-0.476592269186156	0.197	0.246	1	"OPC"	"ERC1"	"AD"	"Entorhinal Cortex"
"UVRAG4"	0.389903548384682	0.00313727242028539	0.164	0.098	1	"OPC"	"UVRAG"	"AD"	"Entorhinal Cortex"
"GNG74"	0.390254895872215	0.184814163983414	0.344	0.262	1	"OPC"	"GNG7"	"AD"	"Entorhinal Cortex"
"MAGI14"	0.390319621587343	0.264571665734995	0.377	0.279	1	"OPC"	"MAGI1"	"AD"	"Entorhinal Cortex"
"CLK14"	0.391498092036889	-0.348600164076818	0.213	0.295	1	"OPC"	"CLK1"	"AD"	"Entorhinal Cortex"
"APBA24"	0.391810220772856	0.412188343483214	0.197	0.148	1	"OPC"	"APBA2"	"AD"	"Entorhinal Cortex"
"WDR74"	0.392238839453135	0.373888973368572	0.213	0.148	1	"OPC"	"WDR7"	"AD"	"Entorhinal Cortex"
"ATAT1"	0.392326035395229	0.139221888718957	0.115	0.066	1	"OPC"	"ATAT1"	"AD"	"Entorhinal Cortex"
"ME12"	0.392326035395229	0.111489780972757	0.115	0.066	1	"OPC"	"ME1"	"AD"	"Entorhinal Cortex"
"TM9SF33"	0.392326035395229	0.171248783395348	0.115	0.066	1	"OPC"	"TM9SF3"	"AD"	"Entorhinal Cortex"
"RNF1112"	0.392326035395229	-0.219815645951544	0.115	0.066	1	"OPC"	"RNF111"	"AD"	"Entorhinal Cortex"
"DCAKD2"	0.392326035395229	0.0540268175944602	0.115	0.066	1	"OPC"	"DCAKD"	"AD"	"Entorhinal Cortex"
"NBAS4"	0.393192339821579	0.153469027650865	0.197	0.131	1	"OPC"	"NBAS"	"AD"	"Entorhinal Cortex"
"ACSS13"	0.393192339821579	0.142136768400582	0.197	0.131	1	"OPC"	"ACSS1"	"AD"	"Entorhinal Cortex"
"PPP6R24"	0.394145388080682	0.293879218767416	0.23	0.164	1	"OPC"	"PPP6R2"	"AD"	"Entorhinal Cortex"
"ZDHHC203"	0.394232263260114	-0.535076668117476	0.131	0.18	1	"OPC"	"ZDHHC20"	"AD"	"Entorhinal Cortex"
"UGGT24"	0.394747307362174	-0.423981684963267	0.246	0.295	1	"OPC"	"UGGT2"	"AD"	"Entorhinal Cortex"
"FAM126B1"	0.394817414016938	0.187655284777226	0.131	0.082	1	"OPC"	"FAM126B"	"AD"	"Entorhinal Cortex"
"SYN21"	0.394817414016938	0.243770831150263	0.131	0.082	1	"OPC"	"SYN2"	"AD"	"Entorhinal Cortex"
"SSR11"	0.394817414016938	0.271299182463417	0.131	0.082	1	"OPC"	"SSR1"	"AD"	"Entorhinal Cortex"
"SDK12"	0.394817414016938	0.432014050209948	0.131	0.082	1	"OPC"	"SDK1"	"AD"	"Entorhinal Cortex"
"PLP14"	0.395496154791453	-0.162633518397554	0.426	0.328	1	"OPC"	"PLP1"	"AD"	"Entorhinal Cortex"
"RNF1572"	0.396477834171048	0.196540251473892	0.213	0.148	1	"OPC"	"RNF157"	"AD"	"Entorhinal Cortex"
"NRDC4"	0.396479570768862	0.271129543125872	0.213	0.148	1	"OPC"	"NRDC"	"AD"	"Entorhinal Cortex"
"WNK14"	0.396489626674461	-0.301210531099272	0.164	0.213	1	"OPC"	"WNK1"	"AD"	"Entorhinal Cortex"
"SORCS11"	0.39671624958864	0.152196434339681	0.361	0.279	1	"OPC"	"SORCS1"	"AD"	"Entorhinal Cortex"
"PNKD"	0.397475794891841	0.11597833762357	0.131	0.082	1	"OPC"	"PNKD"	"AD"	"Entorhinal Cortex"
"ATRN4"	0.397475794891841	0.190100390014164	0.131	0.082	1	"OPC"	"ATRN"	"AD"	"Entorhinal Cortex"
"MORF4L23"	0.398054675704695	0.0547598561677742	0.115	0.066	1	"OPC"	"MORF4L2"	"AD"	"Entorhinal Cortex"
"RP11-257I14.1"	0.398054675704695	0.0422618238023995	0.115	0.066	1	"OPC"	"RP11-257I14.1"	"AD"	"Entorhinal Cortex"
"LINC014814"	0.39874943761688	0.415139077867624	0.18	0.131	1	"OPC"	"LINC01481"	"AD"	"Entorhinal Cortex"
"CREBBP4"	0.398751394219976	-0.440388135009013	0.131	0.18	1	"OPC"	"CREBBP"	"AD"	"Entorhinal Cortex"
"CCNL23"	0.398775579630899	0.366764916334694	0.148	0.098	1	"OPC"	"CCNL2"	"AD"	"Entorhinal Cortex"
"TCF7L21"	0.398775579630899	-0.408331898954253	0.098	0.148	1	"OPC"	"TCF7L2"	"AD"	"Entorhinal Cortex"
"SCN3A1"	0.39987312423606	-0.356765215470149	0.41	0.475	1	"OPC"	"SCN3A"	"AD"	"Entorhinal Cortex"
"PHTF21"	0.400150398745771	0.191398829506007	0.131	0.082	1	"OPC"	"PHTF2"	"AD"	"Entorhinal Cortex"
"MAPK8IP13"	0.400150398745771	0.00313006437502894	0.131	0.082	1	"OPC"	"MAPK8IP1"	"AD"	"Entorhinal Cortex"
"TET1"	0.400150398745771	0.139988788416823	0.131	0.082	1	"OPC"	"TET1"	"AD"	"Entorhinal Cortex"
"EVL4"	0.400150398745771	-0.280850319121055	0.082	0.131	1	"OPC"	"EVL"	"AD"	"Entorhinal Cortex"
"ZCCHC141"	0.400150398745771	-0.330497668728323	0.082	0.131	1	"OPC"	"ZCCHC14"	"AD"	"Entorhinal Cortex"
"DMXL22"	0.400477171055169	-0.413374016565428	0.148	0.197	1	"OPC"	"DMXL2"	"AD"	"Entorhinal Cortex"
"KCNH81"	0.400971705725454	-0.522174950912703	0.328	0.377	1	"OPC"	"KCNH8"	"AD"	"Entorhinal Cortex"
"PRKACB4"	0.401621346187973	0.0301199558001755	0.475	0.344	1	"OPC"	"PRKACB"	"AD"	"Entorhinal Cortex"
"R3HDM24"	0.402054898168727	0.151853951683843	0.197	0.131	1	"OPC"	"R3HDM2"	"AD"	"Entorhinal Cortex"
"MAP3K1"	0.402240623413148	0.107648928594228	0.262	0.197	1	"OPC"	"MAP3K1"	"AD"	"Entorhinal Cortex"
"SMARCAD11"	0.403301573688582	-0.342502609508936	0.131	0.18	1	"OPC"	"SMARCAD1"	"AD"	"Entorhinal Cortex"
"PCDH171"	0.404324408167009	-0.652855372008501	0.246	0.279	1	"OPC"	"PCDH17"	"AD"	"Entorhinal Cortex"
"ATRNL11"	0.404332927280812	-0.29472180619707	0.885	0.787	1	"OPC"	"ATRNL1"	"AD"	"Entorhinal Cortex"
"KANSL14"	0.404403300843882	0.310962253916481	0.311	0.262	1	"OPC"	"KANSL1"	"AD"	"Entorhinal Cortex"
"ZC3H133"	0.404589931571713	-0.347243489265745	0.115	0.164	1	"OPC"	"ZC3H13"	"AD"	"Entorhinal Cortex"
"RP11-159G9.52"	0.404592073190085	-0.313555410683758	0.115	0.164	1	"OPC"	"RP11-159G9.5"	"AD"	"Entorhinal Cortex"
"GSK3B4"	0.404822214219974	0.160194521466489	0.246	0.18	1	"OPC"	"GSK3B"	"AD"	"Entorhinal Cortex"
"DDR12"	0.404853510143681	-0.473621432503556	0.148	0.197	1	"OPC"	"DDR1"	"AD"	"Entorhinal Cortex"
"MKL23"	0.404853510143681	-0.415824318435695	0.148	0.197	1	"OPC"	"MKL2"	"AD"	"Entorhinal Cortex"
"GPM6A3"	0.405449012158004	-0.175711160288645	0.754	0.721	1	"OPC"	"GPM6A"	"AD"	"Entorhinal Cortex"
"FIS12"	0.405526454816027	-0.177807880192624	0.082	0.131	1	"OPC"	"FIS1"	"AD"	"Entorhinal Cortex"
"SPATA63"	0.405747524445442	-0.472849611336241	0.246	0.295	1	"OPC"	"SPATA6"	"AD"	"Entorhinal Cortex"
"PICALM4"	0.406050833583114	0.11216966591143	0.393	0.295	1	"OPC"	"PICALM"	"AD"	"Entorhinal Cortex"
"SPIN14"	0.406530754213437	-0.107554499406689	0.131	0.197	1	"OPC"	"SPIN1"	"AD"	"Entorhinal Cortex"
"C2CD52"	0.406530754213437	0.138324171042928	0.197	0.131	1	"OPC"	"C2CD5"	"AD"	"Entorhinal Cortex"
"KIAA05861"	0.407882713368663	-0.414049283011528	0.131	0.18	1	"OPC"	"KIAA0586"	"AD"	"Entorhinal Cortex"
"GUK14"	0.408885437890838	0.297100607534033	0.148	0.098	1	"OPC"	"GUK1"	"AD"	"Entorhinal Cortex"
"PODXL21"	0.408885437890838	-0.274995720234701	0.098	0.148	1	"OPC"	"PODXL2"	"AD"	"Entorhinal Cortex"
"MED273"	0.408885437890838	0.431731523833653	0.148	0.098	1	"OPC"	"MED27"	"AD"	"Entorhinal Cortex"
"ARID1A4"	0.409366818973607	0.215676661897424	0.213	0.148	1	"OPC"	"ARID1A"	"AD"	"Entorhinal Cortex"
"CDIPT"	0.409662112109091	-0.0846942718891222	0.115	0.066	1	"OPC"	"CDIPT"	"AD"	"Entorhinal Cortex"
"N4BP2L24"	0.41004498867603	0.133595080315542	0.607	0.443	1	"OPC"	"N4BP2L2"	"AD"	"Entorhinal Cortex"
"FAM13B4"	0.410357100579896	0.137713754709101	0.279	0.197	1	"OPC"	"FAM13B"	"AD"	"Entorhinal Cortex"
"LPIN12"	0.410945434724779	0.164760225005153	0.131	0.082	1	"OPC"	"LPIN1"	"AD"	"Entorhinal Cortex"
"C1QL2"	0.410945434724779	-0.22921297776885	0.082	0.131	1	"OPC"	"C1QL2"	"AD"	"Entorhinal Cortex"
"RTF12"	0.410945434724779	0.23997032982768	0.131	0.082	1	"OPC"	"RTF1"	"AD"	"Entorhinal Cortex"
"MIR3681HG"	0.411981400927303	-0.659903587377279	0.18	0.23	1	"OPC"	"MIR3681HG"	"AD"	"Entorhinal Cortex"
"PHF21A4"	0.411981400927303	0.0150691849040128	0.246	0.164	1	"OPC"	"PHF21A"	"AD"	"Entorhinal Cortex"
"DYNLL14"	0.412828079822044	-0.159677617070239	0.164	0.23	1	"OPC"	"DYNLL1"	"AD"	"Entorhinal Cortex"
"POM1211"	0.413668282584626	0.146873739454945	0.131	0.082	1	"OPC"	"POM121"	"AD"	"Entorhinal Cortex"
"ATP2C14"	0.414080422653483	-0.277112164064695	0.23	0.279	1	"OPC"	"ATP2C1"	"AD"	"Entorhinal Cortex"
"EPC21"	0.414247012913406	0.460252538241191	0.164	0.115	1	"OPC"	"EPC2"	"AD"	"Entorhinal Cortex"
"CPSF72"	0.415540534466958	0.0511686751253448	0.115	0.066	1	"OPC"	"CPSF7"	"AD"	"Entorhinal Cortex"
"DENND4A4"	0.416087888919051	-0.3211774364481	0.328	0.393	1	"OPC"	"DENND4A"	"AD"	"Entorhinal Cortex"
"HECTD44"	0.416129653403128	-0.391905412576221	0.18	0.23	1	"OPC"	"HECTD4"	"AD"	"Entorhinal Cortex"
"SCAMP51"	0.416404497240035	0.274571880598245	0.131	0.082	1	"OPC"	"SCAMP5"	"AD"	"Entorhinal Cortex"
"ATP2B22"	0.416407181913207	0.230956824963115	0.131	0.082	1	"OPC"	"ATP2B2"	"AD"	"Entorhinal Cortex"
"TRPC3"	0.416407181913207	-0.0586672701553853	0.131	0.082	1	"OPC"	"TRPC3"	"AD"	"Entorhinal Cortex"
"NDRG24"	0.417027935425181	-0.374814852554452	0.18	0.246	1	"OPC"	"NDRG2"	"AD"	"Entorhinal Cortex"
"NAA161"	0.417137496705184	-0.33900579943815	0.131	0.18	1	"OPC"	"NAA16"	"AD"	"Entorhinal Cortex"
"SORCS31"	0.417493071544849	-0.44455786306242	0.344	0.393	1	"OPC"	"SORCS3"	"AD"	"Entorhinal Cortex"
"PDZRN4"	0.417611655139476	-0.1469413461565	0.459	0.508	1	"OPC"	"PDZRN4"	"AD"	"Entorhinal Cortex"
"RP11-944L7.42"	0.41912837315724	0.316128984111713	0.164	0.115	1	"OPC"	"RP11-944L7.4"	"AD"	"Entorhinal Cortex"
"HMGN34"	0.41912837315724	0.19573908495149	0.164	0.115	1	"OPC"	"HMGN3"	"AD"	"Entorhinal Cortex"
"CTIF2"	0.420043581890581	-0.0712591225344321	0.279	0.18	1	"OPC"	"CTIF"	"AD"	"Entorhinal Cortex"
"VAPA4"	0.420305574320358	0.334390982003163	0.23	0.18	1	"OPC"	"VAPA"	"AD"	"Entorhinal Cortex"
"NF14"	0.421115363102371	-0.20752311333043	0.393	0.459	1	"OPC"	"NF1"	"AD"	"Entorhinal Cortex"
"CPEB22"	0.42181094025924	0.361324475256693	0.18	0.131	1	"OPC"	"CPEB2"	"AD"	"Entorhinal Cortex"
"ILF3"	0.421911530737812	0.0631171205322351	0.131	0.082	1	"OPC"	"ILF3"	"AD"	"Entorhinal Cortex"
"ADGRB11"	0.422059317348026	-0.251094561671647	0.213	0.279	1	"OPC"	"ADGRB1"	"AD"	"Entorhinal Cortex"
"SASH13"	0.422157554384602	0.000746943485718798	0.279	0.197	1	"OPC"	"SASH1"	"AD"	"Entorhinal Cortex"
"RBL21"	0.424041246957189	0.265200370005567	0.164	0.115	1	"OPC"	"RBL2"	"AD"	"Entorhinal Cortex"
"PLEKHA64"	0.424333031309397	0.193747583753685	0.148	0.098	1	"OPC"	"PLEKHA6"	"AD"	"Entorhinal Cortex"
"EFHC11"	0.424333031309397	0.209594752110872	0.148	0.098	1	"OPC"	"EFHC1"	"AD"	"Entorhinal Cortex"
"TMEM592"	0.424729301022337	0.101864556366825	0.197	0.131	1	"OPC"	"TMEM59"	"AD"	"Entorhinal Cortex"
"HDAC93"	0.425128074014332	0.0223087127472814	0.377	0.295	1	"OPC"	"HDAC9"	"AD"	"Entorhinal Cortex"
"DDX54"	0.425370727756143	-0.355712906312893	0.377	0.426	1	"OPC"	"DDX5"	"AD"	"Entorhinal Cortex"
"SUMF14"	0.426079258883851	0.203094243750161	0.262	0.197	1	"OPC"	"SUMF1"	"AD"	"Entorhinal Cortex"
"BEX11"	0.426513025028327	0.299774935757294	0.18	0.131	1	"OPC"	"BEX1"	"AD"	"Entorhinal Cortex"
"ZNF4383"	0.426514943796806	-0.43044019271245	0.131	0.18	1	"OPC"	"ZNF438"	"AD"	"Entorhinal Cortex"
"COG61"	0.427458306444737	-0.0311286471987702	0.131	0.082	1	"OPC"	"COG6"	"AD"	"Entorhinal Cortex"
"YWHAE3"	0.427458306444737	-0.123807371406292	0.082	0.131	1	"OPC"	"YWHAE"	"AD"	"Entorhinal Cortex"
"GADD45GIP1"	0.427458306444737	0.191532635062734	0.131	0.082	1	"OPC"	"GADD45GIP1"	"AD"	"Entorhinal Cortex"
"GPR37L11"	0.429000534717645	0.213407906158311	0.295	0.23	1	"OPC"	"GPR37L1"	"AD"	"Entorhinal Cortex"
"KLHL324"	0.429553527187954	0.1267327061137	0.295	0.213	1	"OPC"	"KLHL32"	"AD"	"Entorhinal Cortex"
"CYLD2"	0.429557086752134	0.243049502838692	0.148	0.098	1	"OPC"	"CYLD"	"AD"	"Entorhinal Cortex"
"SRSF24"	0.429557086752134	0.208820356660406	0.148	0.098	1	"OPC"	"SRSF2"	"AD"	"Entorhinal Cortex"
"PPP4R1"	0.429557086752134	0.258282069856698	0.148	0.098	1	"OPC"	"PPP4R1"	"AD"	"Entorhinal Cortex"
"STK32A"	0.431219924376139	-0.118641147675224	0.328	0.41	1	"OPC"	"STK32A"	"AD"	"Entorhinal Cortex"
"ITSN24"	0.43139100776522	0.0393458429191029	0.213	0.148	1	"OPC"	"ITSN2"	"AD"	"Entorhinal Cortex"
"TSC22D13"	0.43193043883815	-0.531286713386002	0.344	0.361	1	"OPC"	"TSC22D1"	"AD"	"Entorhinal Cortex"
"ZMYM44"	0.432116459637785	0.292458279515382	0.295	0.246	1	"OPC"	"ZMYM4"	"AD"	"Entorhinal Cortex"
"PDZD24"	0.432360411343341	-0.167658568744375	0.82	0.852	1	"OPC"	"PDZD2"	"AD"	"Entorhinal Cortex"
"MYOM1"	0.433047325147238	0.257025344592112	0.131	0.082	1	"OPC"	"MYOM1"	"AD"	"Entorhinal Cortex"
"HERC24"	0.433113525208466	-0.266719991951956	0.246	0.311	1	"OPC"	"HERC2"	"AD"	"Entorhinal Cortex"
"HECW11"	0.43325784261019	0.185777721988018	0.344	0.262	1	"OPC"	"HECW1"	"AD"	"Entorhinal Cortex"
"SNX133"	0.433905513515918	-0.522064362267756	0.23	0.262	1	"OPC"	"SNX13"	"AD"	"Entorhinal Cortex"
"SPATS2L2"	0.433967408873178	0.451290836933994	0.164	0.115	1	"OPC"	"SPATS2L"	"AD"	"Entorhinal Cortex"
"SKP13"	0.433967408873178	0.24340997030267	0.164	0.115	1	"OPC"	"SKP1"	"AD"	"Entorhinal Cortex"
"AKAP104"	0.434818318129571	-0.310326343844026	0.098	0.148	1	"OPC"	"AKAP10"	"AD"	"Entorhinal Cortex"
"TTN-AS11"	0.435170288117107	0.204298555088791	0.213	0.164	1	"OPC"	"TTN-AS1"	"AD"	"Entorhinal Cortex"
"TOX3"	0.435452599253738	-0.367483481508518	0.328	0.377	1	"OPC"	"TOX"	"AD"	"Entorhinal Cortex"
"RP11-373N22.3"	0.436014178577544	-0.302126398953848	0.131	0.18	1	"OPC"	"RP11-373N22.3"	"AD"	"Entorhinal Cortex"
"FOXK22"	0.436014178577544	0.378642649473449	0.18	0.131	1	"OPC"	"FOXK2"	"AD"	"Entorhinal Cortex"
"CTNND24"	0.437304343428276	-0.30951952173519	0.689	0.656	1	"OPC"	"CTNND2"	"AD"	"Entorhinal Cortex"
"YTHDC12"	0.437460497091796	0.184805523380424	0.148	0.098	1	"OPC"	"YTHDC1"	"AD"	"Entorhinal Cortex"
"ITFG14"	0.437628592248508	0.285874508118523	0.361	0.295	1	"OPC"	"ITFG1"	"AD"	"Entorhinal Cortex"
"ANKRD124"	0.438181356424101	0.178680411880632	0.41	0.328	1	"OPC"	"ANKRD12"	"AD"	"Entorhinal Cortex"
"MGAT54"	0.439598604668412	-0.347873686053693	0.164	0.213	1	"OPC"	"MGAT5"	"AD"	"Entorhinal Cortex"
"CTD-2058B24.2"	0.439828898979693	0.155799379559702	0.311	0.23	1	"OPC"	"CTD-2058B24.2"	"AD"	"Entorhinal Cortex"
"MT-CO14"	0.439897948504076	0.0505965053014674	0.279	0.213	1	"OPC"	"MT-CO1"	"AD"	"Entorhinal Cortex"
"MON24"	0.441375664931452	0.235042088977238	0.295	0.213	1	"OPC"	"MON2"	"AD"	"Entorhinal Cortex"
"KANK13"	0.44151120894255	-0.26996438635448	0.262	0.311	1	"OPC"	"KANK1"	"AD"	"Entorhinal Cortex"
"CECR22"	0.441543249421971	-0.477577744823493	0.18	0.23	1	"OPC"	"CECR2"	"AD"	"Entorhinal Cortex"
"SYNE13"	0.442334838635168	-0.0509597139344948	0.361	0.443	1	"OPC"	"SYNE1"	"AD"	"Entorhinal Cortex"
"ATP9B4"	0.442366525299182	-0.431456510971135	0.197	0.246	1	"OPC"	"ATP9B"	"AD"	"Entorhinal Cortex"
"MMP17"	0.443395241600953	0.25020818307253	0.197	0.131	1	"OPC"	"MMP17"	"AD"	"Entorhinal Cortex"
"SCAMP11"	0.44402655088596	0.226290097786787	0.164	0.115	1	"OPC"	"SCAMP1"	"AD"	"Entorhinal Cortex"
"PSPC13"	0.44402655088596	-0.329780202635449	0.115	0.164	1	"OPC"	"PSPC1"	"AD"	"Entorhinal Cortex"
"TUSC31"	0.4443513102146	0.119479272059195	0.131	0.082	1	"OPC"	"TUSC3"	"AD"	"Entorhinal Cortex"
"XRN14"	0.444485684686018	-0.648226176385203	0.213	0.246	1	"OPC"	"XRN1"	"AD"	"Entorhinal Cortex"
"ZNF7043"	0.44520493034767	0.294604512295796	0.41	0.328	1	"OPC"	"ZNF704"	"AD"	"Entorhinal Cortex"
"NAIP4"	0.445451651967537	0.118917789000368	0.148	0.098	1	"OPC"	"NAIP"	"AD"	"Entorhinal Cortex"
"SND13"	0.445451651967537	0.200760692207564	0.148	0.098	1	"OPC"	"SND1"	"AD"	"Entorhinal Cortex"
"CALCOCO11"	0.445451651967537	0.280687603972957	0.148	0.098	1	"OPC"	"CALCOCO1"	"AD"	"Entorhinal Cortex"
"CPSF3L3"	0.445461147405902	-0.608963166165437	0.082	0.115	1	"OPC"	"CPSF3L"	"AD"	"Entorhinal Cortex"
"DNM34"	0.446216629886561	-0.253654290581008	0.689	0.689	1	"OPC"	"DNM3"	"AD"	"Entorhinal Cortex"
"DOCK13"	0.446434336467995	0.102172065948822	0.377	0.311	1	"OPC"	"DOCK1"	"AD"	"Entorhinal Cortex"
"THRB3"	0.44664099219964	-0.423120043191073	0.311	0.361	1	"OPC"	"THRB"	"AD"	"Entorhinal Cortex"
"HIPK24"	0.448133925006544	-0.0135742150429428	0.197	0.131	1	"OPC"	"HIPK2"	"AD"	"Entorhinal Cortex"
"RPRD24"	0.448638472775067	-0.303681746027654	0.213	0.246	1	"OPC"	"RPRD2"	"AD"	"Entorhinal Cortex"
"SEMA6A1"	0.449105628277282	0.269551015669546	0.164	0.115	1	"OPC"	"SEMA6A"	"AD"	"Entorhinal Cortex"
"PBX13"	0.449359549455766	-0.317491318517963	0.23	0.279	1	"OPC"	"PBX1"	"AD"	"Entorhinal Cortex"
"KRIT14"	0.450065862983399	0.0722421240085855	0.131	0.082	1	"OPC"	"KRIT1"	"AD"	"Entorhinal Cortex"
"ABCA24"	0.450207431798186	-0.358823042512848	0.18	0.23	1	"OPC"	"ABCA2"	"AD"	"Entorhinal Cortex"
"CDH22"	0.450450371148969	-0.343392106163627	0.213	0.262	1	"OPC"	"CDH2"	"AD"	"Entorhinal Cortex"
"BAMBI"	0.450487400334977	0.217087669199641	0.18	0.131	1	"OPC"	"BAMBI"	"AD"	"Entorhinal Cortex"
