"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"	"region"
"FABP71"	0.0435392481542952	-0.867206281213241	0.148	0.272	1	"OPC"	"FABP7"	"female"	"Entorhinal Cortex"
"ACSL34"	0.043559494450466	0.684809297728442	0.344	0.198	1	"OPC"	"ACSL3"	"female"	"Entorhinal Cortex"
"NXPE31"	0.0435726818224603	0.606250360994528	0.131	0.037	1	"OPC"	"NXPE3"	"female"	"Entorhinal Cortex"
"PCSK21"	0.0435726818224603	0.366016333727681	0.131	0.037	1	"OPC"	"PCSK2"	"female"	"Entorhinal Cortex"
"DCC2"	0.0439162862701282	-0.337032402487732	0.656	0.753	1	"OPC"	"DCC"	"female"	"Entorhinal Cortex"
"MTDH4"	0.0441380050082517	0.462384760121563	0.295	0.136	1	"OPC"	"MTDH"	"female"	"Entorhinal Cortex"
"NUPL2"	0.0441437165316993	-0.893224399368912	0.164	0.296	1	"OPC"	"NUPL2"	"female"	"Entorhinal Cortex"
"FAT32"	0.0443679794998569	-0.788860373220787	0.098	0.222	1	"OPC"	"FAT3"	"female"	"Entorhinal Cortex"
"JAK22"	0.0444328866767673	-0.525522947281656	0.033	0.136	1	"OPC"	"JAK2"	"female"	"Entorhinal Cortex"
"WDR35"	0.0445066235844149	0.476180745841896	0.131	0.037	1	"OPC"	"WDR35"	"female"	"Entorhinal Cortex"
"SPDYE1"	0.0445066235844149	0.457735375800063	0.131	0.037	1	"OPC"	"SPDYE1"	"female"	"Entorhinal Cortex"
"TTC143"	0.0449103156697038	-0.742584055343122	0.148	0.284	1	"OPC"	"TTC14"	"female"	"Entorhinal Cortex"
"KCTD161"	0.0449701644119085	-0.750320409026426	0.164	0.309	1	"OPC"	"KCTD16"	"female"	"Entorhinal Cortex"
"ZNF2074"	0.0450470664519618	-0.92263263143492	0.115	0.235	1	"OPC"	"ZNF207"	"female"	"Entorhinal Cortex"
"DSCAM3"	0.0451912190263287	0.199766304455441	1	1	1	"OPC"	"DSCAM"	"female"	"Entorhinal Cortex"
"SRSF44"	0.0452015466958517	0.701779029123727	0.18	0.074	1	"OPC"	"SRSF4"	"female"	"Entorhinal Cortex"
"GATAD2B4"	0.0452642795861195	-0.943077057796981	0.082	0.198	1	"OPC"	"GATAD2B"	"female"	"Entorhinal Cortex"
"DMXL21"	0.0453120219602302	0.637303267823061	0.148	0.049	1	"OPC"	"DMXL2"	"female"	"Entorhinal Cortex"
"PPP1R13B1"	0.0454573989703343	0.519729986956307	0.131	0.037	1	"OPC"	"PPP1R13B"	"female"	"Entorhinal Cortex"
"PHC34"	0.0455861266020661	0.594128790994989	0.279	0.136	1	"OPC"	"PHC3"	"female"	"Entorhinal Cortex"
"IL16"	0.0460660179160378	-0.750793242275986	0.033	0.123	1	"OPC"	"IL16"	"female"	"Entorhinal Cortex"
"KANSL3"	0.0462057739877837	0.605156214403137	0.148	0.049	1	"OPC"	"KANSL3"	"female"	"Entorhinal Cortex"
"DHX293"	0.0462057739877837	0.545516783622302	0.148	0.049	1	"OPC"	"DHX29"	"female"	"Entorhinal Cortex"
"UNC793"	0.0462487368094599	0.579969718397792	0.426	0.272	1	"OPC"	"UNC79"	"female"	"Entorhinal Cortex"
"OTUD7B3"	0.0462615286470924	0.708733429255697	0.164	0.062	1	"OPC"	"OTUD7B"	"female"	"Entorhinal Cortex"
"SPATA63"	0.0462679834228458	-0.811943338699547	0.246	0.383	1	"OPC"	"SPATA6"	"female"	"Entorhinal Cortex"
"ELAVL41"	0.0463747511920695	-0.690337320890175	0.066	0.185	1	"OPC"	"ELAVL4"	"female"	"Entorhinal Cortex"
"ST184"	0.0464252348902235	0.514510694982736	0.131	0.037	1	"OPC"	"ST18"	"female"	"Entorhinal Cortex"
"MMS191"	0.0464252348902235	0.553758644937107	0.131	0.037	1	"OPC"	"MMS19"	"female"	"Entorhinal Cortex"
"GRIK21"	0.0468641628709807	-0.484478114465364	0.656	0.741	1	"OPC"	"GRIK2"	"female"	"Entorhinal Cortex"
"GCFC2"	0.0470061365639345	-0.810731544249648	0.033	0.123	1	"OPC"	"GCFC2"	"female"	"Entorhinal Cortex"
"SEMA6D2"	0.0471139448667385	-0.835204900431757	0.049	0.148	1	"OPC"	"SEMA6D"	"female"	"Entorhinal Cortex"
"HNRNPM4"	0.0471143241266458	0.646857697607702	0.148	0.049	1	"OPC"	"HNRNPM"	"female"	"Entorhinal Cortex"
"KIAA05861"	0.0474103596045894	0.5043207905992	0.131	0.037	1	"OPC"	"KIAA0586"	"female"	"Entorhinal Cortex"
"CTD-2341M24.11"	0.0474389265055205	-0.441335774256293	0.148	0.296	1	"OPC"	"CTD-2341M24.1"	"female"	"Entorhinal Cortex"
"TMEM168"	0.0478418358877312	-0.830853230834383	0.098	0.21	1	"OPC"	"TMEM168"	"female"	"Entorhinal Cortex"
"SNRPG"	0.0479623435989021	-0.897879132897321	0.033	0.123	1	"OPC"	"SNRPG"	"female"	"Entorhinal Cortex"
"CERCAM4"	0.0479795343052418	-0.819144978648649	0.049	0.148	1	"OPC"	"CERCAM"	"female"	"Entorhinal Cortex"
"ATG4B4"	0.0480378547220768	0.631541015005795	0.148	0.049	1	"OPC"	"ATG4B"	"female"	"Entorhinal Cortex"
"PAAF12"	0.0480378547220768	0.606023612385615	0.148	0.049	1	"OPC"	"PAAF1"	"female"	"Entorhinal Cortex"
"CNDP14"	0.0480378547220768	0.551802636350025	0.148	0.049	1	"OPC"	"CNDP1"	"female"	"Entorhinal Cortex"
"MPZL11"	0.0482141519880578	0.55163119902757	0.279	0.136	1	"OPC"	"MPZL1"	"female"	"Entorhinal Cortex"
"PITPNB3"	0.0483474861005224	-0.451009839094681	0.049	0.16	1	"OPC"	"PITPNB"	"female"	"Entorhinal Cortex"
"BMP71"	0.0484705459087795	0.463631404402682	0.23	0.099	1	"OPC"	"BMP7"	"female"	"Entorhinal Cortex"
"MTX2"	0.0488444125560722	-0.608051790174664	0.082	0.21	1	"OPC"	"MTX2"	"female"	"Entorhinal Cortex"
"SLC35B3"	0.0489348433660702	-0.72836171531255	0.033	0.123	1	"OPC"	"SLC35B3"	"female"	"Entorhinal Cortex"
"YTHDC1"	0.0489765490761135	0.615128699630386	0.148	0.049	1	"OPC"	"YTHDC1"	"female"	"Entorhinal Cortex"
"SCAF4"	0.0489765490761135	0.560207615475191	0.148	0.049	1	"OPC"	"SCAF4"	"female"	"Entorhinal Cortex"
"NTNG12"	0.0490493986556108	-0.47972577067338	0.393	0.531	1	"OPC"	"NTNG1"	"female"	"Entorhinal Cortex"
"DDR12"	0.0491622456603767	-0.807842351642131	0.148	0.272	1	"OPC"	"DDR1"	"female"	"Entorhinal Cortex"
"NCKAP54"	0.0491791842200408	-0.535134909510272	0.508	0.617	1	"OPC"	"NCKAP5"	"female"	"Entorhinal Cortex"
"FAM184A2"	0.0497508380837681	-0.800031494188426	0.049	0.148	1	"OPC"	"FAM184A"	"female"	"Entorhinal Cortex"
"ATE14"	0.0498275048699642	-0.698942907864561	0.115	0.235	1	"OPC"	"ATE1"	"female"	"Entorhinal Cortex"
"PLXNB13"	0.0499296331202385	0.578889636791198	0.148	0.049	1	"OPC"	"PLXNB1"	"female"	"Entorhinal Cortex"
"ADAMTS9-AS22"	0.0499305914256912	0.701880878171922	0.148	0.049	1	"OPC"	"ADAMTS9-AS2"	"female"	"Entorhinal Cortex"
"CD473"	0.0499840171837201	-0.663659935560018	0.098	0.222	1	"OPC"	"CD47"	"female"	"Entorhinal Cortex"
"TRPC3"	0.050471768731361	0.310668007505182	0.131	0.037	1	"OPC"	"TRPC3"	"female"	"Entorhinal Cortex"
"INVS4"	0.0506075295786917	0.574404153659031	0.311	0.16	1	"OPC"	"INVS"	"female"	"Entorhinal Cortex"
"XRCC41"	0.0506568568400591	0.633691741436006	0.164	0.062	1	"OPC"	"XRCC4"	"female"	"Entorhinal Cortex"
"POLR2J"	0.0506568568400591	-0.727147316322947	0.049	0.148	1	"OPC"	"POLR2J"	"female"	"Entorhinal Cortex"
"LINC006851"	0.0506568568400591	0.815669388001241	0.164	0.062	1	"OPC"	"LINC00685"	"female"	"Entorhinal Cortex"
"ST51"	0.0508110267138501	0.728345016840691	0.23	0.111	1	"OPC"	"ST5"	"female"	"Entorhinal Cortex"
"SIPA1L22"	0.0509001669201506	0.385488700319837	0.148	0.049	1	"OPC"	"SIPA1L2"	"female"	"Entorhinal Cortex"
"IVD1"	0.0509001669201506	0.483014083422507	0.148	0.049	1	"OPC"	"IVD"	"female"	"Entorhinal Cortex"
"TPST12"	0.0513194979227864	0.908943255046387	0.213	0.099	1	"OPC"	"TPST1"	"female"	"Entorhinal Cortex"
"EFCAB14"	0.0518854615981274	0.557539777791567	0.148	0.049	1	"OPC"	"EFCAB14"	"female"	"Entorhinal Cortex"
"HAGH"	0.0518854615981274	0.624379220189507	0.148	0.049	1	"OPC"	"HAGH"	"female"	"Entorhinal Cortex"
"CYLD2"	0.0518854615981274	0.569085734150137	0.148	0.049	1	"OPC"	"CYLD"	"female"	"Entorhinal Cortex"
"NTRK32"	0.0524598941754624	0.332626746622297	0.623	0.444	1	"OPC"	"NTRK3"	"female"	"Entorhinal Cortex"
"MED12L3"	0.0527803658021204	-0.714070210444391	0.131	0.259	1	"OPC"	"MED12L"	"female"	"Entorhinal Cortex"
"CWF19L24"	0.0529350344544912	0.646147252609833	0.213	0.099	1	"OPC"	"CWF19L2"	"female"	"Entorhinal Cortex"
"HCG172"	0.0529827157987784	-0.95945747011025	0.082	0.185	1	"OPC"	"HCG17"	"female"	"Entorhinal Cortex"
"NT5C"	0.0529918940103502	-0.716152992331264	0.033	0.123	1	"OPC"	"NT5C"	"female"	"Entorhinal Cortex"
"KIAA13284"	0.0531378978524692	0.667354313304839	0.23	0.111	1	"OPC"	"KIAA1328"	"female"	"Entorhinal Cortex"
"ANKIB14"	0.053477271449934	0.480782631438324	0.393	0.235	1	"OPC"	"ANKIB1"	"female"	"Entorhinal Cortex"
"ZDHHC213"	0.0535441663785169	-0.643317272153427	0.18	0.309	1	"OPC"	"ZDHHC21"	"female"	"Entorhinal Cortex"
"PCLO2"	0.0536958526153165	0.551173401286128	0.197	0.086	1	"OPC"	"PCLO"	"female"	"Entorhinal Cortex"
"PSEN13"	0.0536958526153165	0.640179614781581	0.197	0.086	1	"OPC"	"PSEN1"	"female"	"Entorhinal Cortex"
"BRINP12"	0.0537849986812105	-0.648323070518276	0.197	0.333	1	"OPC"	"BRINP1"	"female"	"Entorhinal Cortex"
"VLDLR-AS1"	0.0544202945841591	-0.886230405265187	0.049	0.148	1	"OPC"	"VLDLR-AS1"	"female"	"Entorhinal Cortex"
"LARP4B3"	0.0545591284153261	0.607895831904302	0.18	0.074	1	"OPC"	"LARP4B"	"female"	"Entorhinal Cortex"
"TJP14"	0.0549397490810601	-0.671203197997083	0.41	0.494	1	"OPC"	"TJP1"	"female"	"Entorhinal Cortex"
"RP5-1198O20.4"	0.0551235657333476	-0.814096748490437	0.033	0.123	1	"OPC"	"RP5-1198O20.4"	"female"	"Entorhinal Cortex"
"PALLD2"	0.0553852536769324	-0.371584258433516	0.23	0.358	1	"OPC"	"PALLD"	"female"	"Entorhinal Cortex"
"DNAJB143"	0.0554378638874363	0.608891572663944	0.213	0.099	1	"OPC"	"DNAJB14"	"female"	"Entorhinal Cortex"
"PACS24"	0.0554846845124486	0.676447980836909	0.18	0.074	1	"OPC"	"PACS2"	"female"	"Entorhinal Cortex"
"HDAC84"	0.0558359028346279	0.694627034308779	0.328	0.185	1	"OPC"	"HDAC8"	"female"	"Entorhinal Cortex"
"RP11-244M2.1"	0.0559875826969471	0.512826607004846	0.148	0.049	1	"OPC"	"RP11-244M2.1"	"female"	"Entorhinal Cortex"
"SF3B6"	0.0562159238115034	-0.624936730593655	0.033	0.123	1	"OPC"	"SF3B6"	"female"	"Entorhinal Cortex"
"EIF1B"	0.0562159238115034	-0.812749743076327	0.033	0.123	1	"OPC"	"EIF1B"	"female"	"Entorhinal Cortex"
"ADAM121"	0.0563411728563797	0.731180598591904	0.197	0.086	1	"OPC"	"ADAM12"	"female"	"Entorhinal Cortex"
"CSNK2A12"	0.056386893969846	-0.747248008488155	0.049	0.148	1	"OPC"	"CSNK2A1"	"female"	"Entorhinal Cortex"
"SNX242"	0.0563878018062514	0.473422543309014	0.164	0.062	1	"OPC"	"SNX24"	"female"	"Entorhinal Cortex"
"KDM6A4"	0.0563878018062514	0.523441667078282	0.164	0.062	1	"OPC"	"KDM6A"	"female"	"Entorhinal Cortex"
"CACNG21"	0.0563878018062514	0.638669253308709	0.164	0.062	1	"OPC"	"CACNG2"	"female"	"Entorhinal Cortex"
"BDNF-AS4"	0.0564612945030863	0.684701027298794	0.279	0.148	1	"OPC"	"BDNF-AS"	"female"	"Entorhinal Cortex"
"MAGI32"	0.0565920892774549	-0.635529632232641	0.115	0.235	1	"OPC"	"MAGI3"	"female"	"Entorhinal Cortex"
"LYPLAL12"	0.0572135676147875	-0.703063424477576	0.098	0.21	1	"OPC"	"LYPLAL1"	"female"	"Entorhinal Cortex"
"GPR137C3"	0.0573888143591224	-0.74381808102009	0.115	0.235	1	"OPC"	"GPR137C"	"female"	"Entorhinal Cortex"
"ADAM171"	0.0573935494970081	-0.667541196443118	0.049	0.148	1	"OPC"	"ADAM17"	"female"	"Entorhinal Cortex"
"CALCRL"	0.0575962797341117	-0.779681370070754	0.148	0.272	1	"OPC"	"CALCRL"	"female"	"Entorhinal Cortex"
"SHISA61"	0.0580385390990339	0.700250720434622	0.213	0.099	1	"OPC"	"SHISA6"	"female"	"Entorhinal Cortex"
"ZBTB7C1"	0.058137856623925	0.55381652151336	0.148	0.049	1	"OPC"	"ZBTB7C"	"female"	"Entorhinal Cortex"
"PMS13"	0.0582902448001919	0.762737086842366	0.246	0.123	1	"OPC"	"PMS1"	"female"	"Entorhinal Cortex"
"CLDN12"	0.0584141698371328	-0.536882306820201	0.049	0.148	1	"OPC"	"CLDN12"	"female"	"Entorhinal Cortex"
"FLRT22"	0.0586907422420722	-0.780045915905614	0.23	0.358	1	"OPC"	"FLRT2"	"female"	"Entorhinal Cortex"
"DCUN1D43"	0.059093136925904	0.390418428535478	0.246	0.111	1	"OPC"	"DCUN1D4"	"female"	"Entorhinal Cortex"
"TXNL1"	0.0594498209567084	-0.655594767768099	0.049	0.148	1	"OPC"	"TXNL1"	"female"	"Entorhinal Cortex"
"PLPPR5"	0.0595577139554261	0.663173060234837	0.279	0.148	1	"OPC"	"PLPPR5"	"female"	"Entorhinal Cortex"
"BBS23"	0.0599593634491758	0.714347178378557	0.246	0.123	1	"OPC"	"BBS2"	"female"	"Entorhinal Cortex"
"EPC14"	0.0601591914442666	-0.585222131138236	0.164	0.309	1	"OPC"	"EPC1"	"female"	"Entorhinal Cortex"
"ME21"	0.0603108366981368	0.602372851192667	0.18	0.074	1	"OPC"	"ME2"	"female"	"Entorhinal Cortex"
"CD463"	0.0603563083624295	0.440616606034872	0.148	0.049	1	"OPC"	"CD46"	"female"	"Entorhinal Cortex"
"FAU4"	0.0610541590020532	0.490715263538247	0.295	0.16	1	"OPC"	"FAU"	"female"	"Entorhinal Cortex"
"PICALM4"	0.0611648917152125	0.518585221647856	0.393	0.222	1	"OPC"	"PICALM"	"female"	"Entorhinal Cortex"
"UPF22"	0.0613166790131656	0.553164308982446	0.18	0.074	1	"OPC"	"UPF2"	"female"	"Entorhinal Cortex"
"NUDT32"	0.0619514495211981	-0.543281098277793	0.033	0.123	1	"OPC"	"NUDT3"	"female"	"Entorhinal Cortex"
"BAALC1"	0.0623154768646736	0.421317812314354	0.328	0.173	1	"OPC"	"BAALC"	"female"	"Entorhinal Cortex"
"NDUFAF61"	0.0623363730606427	0.388511592466591	0.18	0.074	1	"OPC"	"NDUFAF6"	"female"	"Entorhinal Cortex"
"PRNP3"	0.0623968895820291	0.252568717306757	0.361	0.185	1	"OPC"	"PRNP"	"female"	"Entorhinal Cortex"
"GAB13"	0.06315166741264	-0.84374035269048	0.197	0.309	1	"OPC"	"GAB1"	"female"	"Entorhinal Cortex"
"BSG2"	0.0631548041139594	-0.645749082608186	0.033	0.123	1	"OPC"	"BSG"	"female"	"Entorhinal Cortex"
"HEATR5B3"	0.0633533326412097	-0.669351616171275	0.098	0.21	1	"OPC"	"HEATR5B"	"female"	"Entorhinal Cortex"
"DANT22"	0.0633868383606671	0.532466535712238	0.492	0.358	1	"OPC"	"DANT2"	"female"	"Entorhinal Cortex"
"ZEB24"	0.0635587070915579	-0.570795194096551	0.328	0.457	1	"OPC"	"ZEB2"	"female"	"Entorhinal Cortex"
"CD634"	0.0636250500097778	0.583379065306705	0.279	0.148	1	"OPC"	"CD63"	"female"	"Entorhinal Cortex"
"LINC00504"	0.0637459136514735	0.51684758406383	0.164	0.062	1	"OPC"	"LINC00504"	"female"	"Entorhinal Cortex"
"C16orf521"	0.0638151920202876	0.196865093377816	0.148	0.049	1	"OPC"	"C16orf52"	"female"	"Entorhinal Cortex"
"DST4"	0.0640951607768792	0.498863706962744	0.689	0.494	1	"OPC"	"DST"	"female"	"Entorhinal Cortex"
"FAM168A4"	0.0642307544365029	0.657037335580876	0.295	0.173	1	"OPC"	"FAM168A"	"female"	"Entorhinal Cortex"
"KLHL1"	0.0642733424415816	-0.721773617046375	0.098	0.21	1	"OPC"	"KLHL1"	"female"	"Entorhinal Cortex"
"MON24"	0.0646833415713881	0.65482464765077	0.295	0.16	1	"OPC"	"MON2"	"female"	"Entorhinal Cortex"
"CTD-2269F5.1"	0.0648244022026554	-0.663200141319128	0.098	0.222	1	"OPC"	"CTD-2269F5.1"	"female"	"Entorhinal Cortex"
"CNTNAP24"	0.0649742408351012	-0.489206157738561	0.443	0.58	1	"OPC"	"CNTNAP2"	"female"	"Entorhinal Cortex"
"PDE7B1"	0.0651501452480815	-0.785646259717047	0.18	0.309	1	"OPC"	"PDE7B"	"female"	"Entorhinal Cortex"
"CNN31"	0.0652043538650925	-0.810710992971908	0.098	0.21	1	"OPC"	"CNN3"	"female"	"Entorhinal Cortex"
"GALK2"	0.0654729585103057	0.555650317680786	0.213	0.099	1	"OPC"	"GALK2"	"female"	"Entorhinal Cortex"
"SSH24"	0.0655488001476849	0.406342441993134	0.361	0.222	1	"OPC"	"SSH2"	"female"	"Entorhinal Cortex"
"AC129778.2"	0.0658238830370386	0.73098937377793	0.115	0.037	1	"OPC"	"AC129778.2"	"female"	"Entorhinal Cortex"
"COL9A1"	0.0658447546286902	-0.512701608764709	0.197	0.333	1	"OPC"	"COL9A1"	"female"	"Entorhinal Cortex"
"ANKRD283"	0.0659078755681869	-0.470037469891142	0.262	0.395	1	"OPC"	"ANKRD28"	"female"	"Entorhinal Cortex"
"RP11-545I5.3"	0.0659882923998333	0.417908771322082	0.164	0.062	1	"OPC"	"RP11-545I5.3"	"female"	"Entorhinal Cortex"
"CDC42BPA4"	0.0665778184705046	0.390434307142145	0.623	0.444	1	"OPC"	"CDC42BPA"	"female"	"Entorhinal Cortex"
"POLR2A"	0.0672005940248853	0.658146278865217	0.115	0.037	1	"OPC"	"POLR2A"	"female"	"Entorhinal Cortex"
"SPP14"	0.0672999084932897	0.59455035415839	0.262	0.136	1	"OPC"	"SPP1"	"female"	"Entorhinal Cortex"
"STXBP32"	0.0676473748047931	-0.700731310401789	0.066	0.16	1	"OPC"	"STXBP3"	"female"	"Entorhinal Cortex"
"DZIP32"	0.0676473748047931	0.465304999826039	0.18	0.074	1	"OPC"	"DZIP3"	"female"	"Entorhinal Cortex"
"CRYAB4"	0.0680643255089075	-0.703242250085116	0.098	0.21	1	"OPC"	"CRYAB"	"female"	"Entorhinal Cortex"
"TCF254"	0.0683427634517233	0.597783052959008	0.311	0.185	1	"OPC"	"TCF25"	"female"	"Entorhinal Cortex"
"KLHDC102"	0.0684560357305765	0.627172378024126	0.213	0.099	1	"OPC"	"KLHDC10"	"female"	"Entorhinal Cortex"
"GOLGA44"	0.0684875935150446	0.600628746792225	0.295	0.16	1	"OPC"	"GOLGA4"	"female"	"Entorhinal Cortex"
"CWC273"	0.0685162222442626	-0.566535271269325	0.066	0.173	1	"OPC"	"CWC27"	"female"	"Entorhinal Cortex"
"PRKACB4"	0.0687844530472756	0.474848616109068	0.475	0.321	1	"OPC"	"PRKACB"	"female"	"Entorhinal Cortex"
"MT-CO14"	0.0688053970232082	0.488881715889081	0.279	0.148	1	"OPC"	"MT-CO1"	"female"	"Entorhinal Cortex"
"LUC7L34"	0.068832291889236	0.338717739462546	0.607	0.42	1	"OPC"	"LUC7L3"	"female"	"Entorhinal Cortex"
"KAZN3"	0.06920759890597	-0.42101581634291	0.689	0.778	1	"OPC"	"KAZN"	"female"	"Entorhinal Cortex"
"AGBL42"	0.069461429716988	0.381614996662731	0.344	0.198	1	"OPC"	"AGBL4"	"female"	"Entorhinal Cortex"
"KHDRBS33"	0.0697682458733144	0.511652917973164	0.492	0.333	1	"OPC"	"KHDRBS3"	"female"	"Entorhinal Cortex"
"IL1RAP1"	0.0697965827532819	-0.778704250164158	0.148	0.272	1	"OPC"	"IL1RAP"	"female"	"Entorhinal Cortex"
"UPF3B4"	0.0698735067164485	0.512867328098203	0.18	0.074	1	"OPC"	"UPF3B"	"female"	"Entorhinal Cortex"
"SLC4A72"	0.0700251335987356	0.574208436582252	0.115	0.037	1	"OPC"	"SLC4A7"	"female"	"Entorhinal Cortex"
"ITSN12"	0.0708256680051154	0.458833543460696	0.246	0.123	1	"OPC"	"ITSN1"	"female"	"Entorhinal Cortex"
"DECR12"	0.0712448567562854	0.417723196936508	0.197	0.086	1	"OPC"	"DECR1"	"female"	"Entorhinal Cortex"
"VSTM2B"	0.0712669432000348	0.734420726269968	0.18	0.086	1	"OPC"	"VSTM2B"	"female"	"Entorhinal Cortex"
"IPO92"	0.0714735268728394	0.639974524663378	0.115	0.037	1	"OPC"	"IPO9"	"female"	"Entorhinal Cortex"
"EEF22"	0.0714735268728394	0.610000253097988	0.115	0.037	1	"OPC"	"EEF2"	"female"	"Entorhinal Cortex"
"TBC1D54"	0.0714881752857234	0.305160365622577	0.426	0.272	1	"OPC"	"TBC1D5"	"female"	"Entorhinal Cortex"
"HNRNPDL4"	0.0714881752857234	-0.613106208598149	0.262	0.395	1	"OPC"	"HNRNPDL"	"female"	"Entorhinal Cortex"
"KLHL232"	0.0715813410719362	0.310962355455488	0.18	0.074	1	"OPC"	"KLHL23"	"female"	"Entorhinal Cortex"
"PRDM5"	0.0721296138043158	0.643675534708968	0.131	0.049	1	"OPC"	"PRDM5"	"female"	"Entorhinal Cortex"
"POU2F14"	0.0723772318596521	0.38606218167431	0.377	0.247	1	"OPC"	"POU2F1"	"female"	"Entorhinal Cortex"
"PCSK52"	0.0724212715383003	-0.67152521754069	0.115	0.235	1	"OPC"	"PCSK5"	"female"	"Entorhinal Cortex"
"BTBD94"	0.0725188040726803	-0.807807054613103	0.148	0.259	1	"OPC"	"BTBD9"	"female"	"Entorhinal Cortex"
"PIBF14"	0.0726047880891813	0.549415295941559	0.213	0.099	1	"OPC"	"PIBF1"	"female"	"Entorhinal Cortex"
"GSTO2"	0.072946379954309	0.539628180957233	0.115	0.037	1	"OPC"	"GSTO2"	"female"	"Entorhinal Cortex"
"GLT1D1"	0.072946379954309	0.656766850266953	0.115	0.037	1	"OPC"	"GLT1D1"	"female"	"Entorhinal Cortex"
"STXBP4"	0.0734565255529579	0.358024796209072	0.197	0.086	1	"OPC"	"STXBP4"	"female"	"Entorhinal Cortex"
"SSR2"	0.0734931189568037	0.663323870467059	0.131	0.049	1	"OPC"	"SSR2"	"female"	"Entorhinal Cortex"
"GALNTL61"	0.0736829231255453	-0.901573837084906	0.049	0.136	1	"OPC"	"GALNTL6"	"female"	"Entorhinal Cortex"
"TMEM178A1"	0.0739340252401447	-0.847184593303093	0.033	0.111	1	"OPC"	"TMEM178A"	"female"	"Entorhinal Cortex"
"CTTNBP23"	0.0742664598967683	-0.55526942069525	0.361	0.494	1	"OPC"	"CTTNBP2"	"female"	"Entorhinal Cortex"
"PPP1R7"	0.0744439766276084	0.461232480476603	0.115	0.037	1	"OPC"	"PPP1R7"	"female"	"Entorhinal Cortex"
"RP11-1055B8.31"	0.0744439766276084	0.448566565008072	0.115	0.037	1	"OPC"	"RP11-1055B8.3"	"female"	"Entorhinal Cortex"
"ATP1B14"	0.0745062137344344	-0.724256727305264	0.066	0.16	1	"OPC"	"ATP1B1"	"female"	"Entorhinal Cortex"
"GTF2H2C"	0.0745062137344344	-0.718524681983597	0.066	0.16	1	"OPC"	"GTF2H2C"	"female"	"Entorhinal Cortex"
"GPATCH84"	0.0746019367322962	0.487054385245198	0.377	0.235	1	"OPC"	"GPATCH8"	"female"	"Entorhinal Cortex"
"SLC1A23"	0.0748561664745597	0.496930205327394	0.656	0.457	1	"OPC"	"SLC1A2"	"female"	"Entorhinal Cortex"
"EIF3K1"	0.0748776319884873	0.610587840783994	0.131	0.049	1	"OPC"	"EIF3K"	"female"	"Entorhinal Cortex"
"ERCC6L23"	0.0751400284473582	0.438248199649778	0.23	0.111	1	"OPC"	"ERCC6L2"	"female"	"Entorhinal Cortex"
"LAMTOR1"	0.0753823790942083	-0.74709742134381	0.033	0.111	1	"OPC"	"LAMTOR1"	"female"	"Entorhinal Cortex"
"PWP11"	0.0753823790942083	-0.683377479122724	0.033	0.111	1	"OPC"	"PWP1"	"female"	"Entorhinal Cortex"
"APPL1"	0.0756319452676863	-0.712417053903338	0.049	0.136	1	"OPC"	"APPL1"	"female"	"Entorhinal Cortex"
"SHFM12"	0.0756319452676863	-0.660448217003675	0.049	0.136	1	"OPC"	"SHFM1"	"female"	"Entorhinal Cortex"
"ACACA4"	0.0757148699534534	-0.606769577868584	0.18	0.296	1	"OPC"	"ACACA"	"female"	"Entorhinal Cortex"
"MITD1"	0.0759666011371677	0.397950177764647	0.115	0.037	1	"OPC"	"MITD1"	"female"	"Entorhinal Cortex"
"GBA2"	0.0759666011371677	0.543242735718475	0.115	0.037	1	"OPC"	"GBA2"	"female"	"Entorhinal Cortex"
"DIXDC13"	0.0759666011371677	0.649670534039306	0.115	0.037	1	"OPC"	"DIXDC1"	"female"	"Entorhinal Cortex"
"TPCN12"	0.0759666011371677	0.480072357048786	0.115	0.037	1	"OPC"	"TPCN1"	"female"	"Entorhinal Cortex"
"PISD1"	0.0759666011371677	0.535196466030773	0.115	0.037	1	"OPC"	"PISD"	"female"	"Entorhinal Cortex"
"ZFHX42"	0.0761982096474139	0.529372777833762	0.23	0.111	1	"OPC"	"ZFHX4"	"female"	"Entorhinal Cortex"
"OMG2"	0.0764238099322477	-0.582730615913319	0.213	0.346	1	"OPC"	"OMG"	"female"	"Entorhinal Cortex"
"LRFN51"	0.0764993261197918	-0.677207121234247	0.213	0.333	1	"OPC"	"LRFN5"	"female"	"Entorhinal Cortex"
"CREB52"	0.0767183871336238	-0.566654522727919	0.262	0.383	1	"OPC"	"CREB5"	"female"	"Entorhinal Cortex"
"NUP1531"	0.0775129588980786	0.566043491808349	0.115	0.037	1	"OPC"	"NUP153"	"female"	"Entorhinal Cortex"
"FAAP20"	0.0775145381208689	0.588501992831325	0.115	0.037	1	"OPC"	"FAAP20"	"female"	"Entorhinal Cortex"
"TTC131"	0.0775145381208689	0.656543415642412	0.115	0.037	1	"OPC"	"TTC13"	"female"	"Entorhinal Cortex"
"SDHA"	0.0775145381208689	0.722374444973522	0.115	0.037	1	"OPC"	"SDHA"	"female"	"Entorhinal Cortex"
"SLC12A91"	0.0775145381208689	0.435077677686718	0.115	0.037	1	"OPC"	"SLC12A9"	"female"	"Entorhinal Cortex"
